,intercept,A,B,C,D,AB,AC,AD,BC,BD,CD,ABC,ABD,ACD,BCD,ABCD,Y
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,72.38
1,1,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,77.56
2,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,77.65
3,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,82.16
4,1,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,85.39
5,1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,86.98
6,1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,89.49
7,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,87.46
8,1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,74.34
9,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,79.97
10,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,77.87
11,1,-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,82.73
12,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,79.32
13,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,84.36
14,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,83.98
15,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1,87.49
